Site,Date,Investigators,MBU,Temp (C) ,Conductivity,DO (mg/L),DO (%),Residual depth,Transect,LULC Class,Right bank (%),Left bank (%),"Depth (cm, R->L)",Substrate type,Substrate (%),Undercut banks,Shaded cover (%),Woody debris,Macrophytes
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,1,B,,90,65,cobble,70,P,0,minimal,none
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,1,C,,,70,gravel,0,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,1,F,,,72,sand,30,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,1,G,40,10,68,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,1,O,,,68,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,1,S,,,65,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,1,U,,,58,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,1,W,,,34,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,1,WV,60,,18,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,1,,,,12,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,2,B,,80,35,cobble,80,A,1,minimal,none
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,2,C,,,40,gravel,0,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,2,F,,,45,sand,20,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,2,G,20,10,50,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,2,O,,,55,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,2,S,,,60,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,2,U,,,50,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,2,W,,,50,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,2,WV,80,10,40,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,2,,,,24,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,3,B,,90,80,cobble,60,A,1,none,none
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,3,C,,,70,gravel,0,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,3,F,,,70,sand,40,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,3,G,,10,60,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,3,O,,,50,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,3,S,,,50,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,3,U,,,40,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,3,W,,,30,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,3,WV,100,,30,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,3,,,,20,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,4,B,,90,60,cobble,80,A,1,minimal,none
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,4,C,,,85,gravel,0,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,4,F,,,80,sand,20,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,4,G,,10,70,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,4,O,,,65,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,4,S,,,55,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,4,U,,,50,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,4,W,,,40,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,4,WV,100,,40,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,4,,,,25,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,5,B,,60,50,cobble,75,PAW,0,minimal,none
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,5,C,,,80,gravel,0,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,5,F,,,70,sand,25,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,5,G,30,,55,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,5,O,,,50,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,5,S,,,50,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,5,U,,,45,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,5,W,,,40,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,5,WV,70,40,20,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,5,,,,10,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,6,B,,15,50,cobble,80,PAW,1,minimal,none
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,6,C,,,80,gravel,0,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,6,F,,,60,sand,20,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,6,G,25,85,55,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,6,O,,,50,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,6,S,,,50,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,6,U,,,40,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,6,W,,,40,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,6,WV,75,,50,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,6,,,,50,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,7,B,,15,40,cobble,80,A,0,minimal,none
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,7,C,,,65,gravel,0,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,7,F,,,70,sand,20,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,7,G,20,75,60,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,7,O,,,60,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,7,S,,,55,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,7,U,,,60,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,7,W,,,95,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,7,WV,80,10,90,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,7,,,,80,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,8,B,20,10,40,cobble,80,A,0,minimal,none
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,8,C,,,70,gravel,0,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,8,F,,,90,sand,20,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,8,G,,90,80,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,8,O,,,90,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,8,S,,,90,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,8,U,,,100,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,8,W,,,110,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,8,WV,80,,125,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,8,,,,130,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,9,B,85,10,40,cobble,0,A,0,minimal,none
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,9,C,,,52,gravel,0,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,9,F,,,90,sand,100,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,9,G,10,90,110,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,9,O,,,150,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,9,S,,,160,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,9,U,,,200,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,9,W,,,200,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,9,WV,5,,200,,,,,,
BG,7302021,"TGQ, ACH",1,19.8,453,8.46,106.1,30,9,,,,90,,,,,,
BG,7302021,"TGQ, ACH",2,21.4,466,9.42,120.2,na,1,B,,,80,cobble,90,PAW,0,some,none
BG,7302021,"TGQ, ACH",2,21.4,466,9.42,120.2,na,1,C,,,120,gravel,0,,,,
BG,7302021,"TGQ, ACH",2,21.4,466,9.42,120.2,na,1,F,,,110,sand,10,,,,
BG,7302021,"TGQ, ACH",2,21.4,466,9.42,120.2,na,1,G,10,5,100,,,,,,
BG,7302021,"TGQ, ACH",2,21.4,466,9.42,120.2,na,1,O,,,85,,,,,,
