Site,Date,Investigators,MBU,Temp (C) ,Conductivity,DO (mg/L),DO (%),Residual depth,Transect,LULC Class,Right bank (%),Left bank (%),"Depth (cm, R->L)",Substrate type,Substrate (%),Undercut banks,Shaded cover (%),Woody debris,Macrophytes
CR,8292021,"TGQ, SC",1,na,na,na,na,na,1,B,,15,92,cobble,50,PAW,0,none,minimal
CR,8292021,"TGQ, SC",1,na,na,na,na,na,1,C,,,105,gravel,25,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,1,F,,,103,sand,25,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,1,G,50,80,79,clay,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,1,O,,,60,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,1,S,,,43,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,1,U,,,32,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,1,W,,,19,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,1,WV,50,5,7,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,1,,,,2,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,2,B,,15,28,cobble,40,PAW,0,none,some
CR,8292021,"TGQ, SC",1,na,na,na,na,na,2,C,,,45,gravel,30,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,2,F,,,73,sand,30,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,2,G,60,80,110,clay,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,2,O,,,108,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,2,S,,,90,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,2,U,,,60,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,2,W,,,35,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,2,WV,40,5,19,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,2,,,,2,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,3,B,,20,70,cobble,40,A,0,none,moderate
CR,8292021,"TGQ, SC",1,na,na,na,na,na,3,C,,,85,gravel,20,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,3,F,,,98,sand,40,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,3,G,30,70,106,clay,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,3,O,,,110,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,3,S,,,82,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,3,U,,,58,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,3,W,,,45,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,3,WV,70,10,30,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,3,,,,3,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,4,B,,70,34,cobble,33,P,0,none,moderate
CR,8292021,"TGQ, SC",1,na,na,na,na,na,4,C,,,72,gravel,33,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,4,F,,,80,sand,33,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,4,G,30,10,85,clay,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,4,O,,,100,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,4,S,,,97,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,4,U,,,85,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,4,W,,,62,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,4,WV,70,20,37,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,4,,,,12,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,5,B,,50,18,cobble,40,PAW,0,none,some
CR,8292021,"TGQ, SC",1,na,na,na,na,na,5,C,,,52,gravel,40,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,5,F,,,73,sand,20,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,5,G,50,35,80,clay,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,5,O,,,85,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,5,S,,,79,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,5,U,,,75,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,5,W,,,50,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,5,WV,50,15,33,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,5,,,,10,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,6,B,,5,22,cobble,10,PAW,0,none,some
CR,8292021,"TGQ, SC",1,na,na,na,na,na,6,C,,,70,gravel,45,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,6,F,,,78,sand,45,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,6,G,40,,61,clay,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,6,O,,,50,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,6,S,,,28,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,6,U,,,12,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,6,W,,,0,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,6,WV,60,95,0,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,6,,,,27,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,7,B,,,20,cobble,10,PAW,0,none,minimal
CR,8292021,"TGQ, SC",1,na,na,na,na,na,7,C,,,65,gravel,70,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,7,F,,,70,sand,20,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,7,G,30,95,55,clay,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,7,O,,,40,,,,,,
