Site,Date,Investigators,MBU,Temp (C) ,Conductivity,DO (mg/L),DO (%),Residual depth,Transect,LULC Class,Right bank (%),Left bank (%),"Depth (cm, R->L)",Substrate type,Substrate (%),Undercut banks,Shaded cover (%),Woody debris,Macrophytes
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,1,B,0,0,20,cobble,90,A,0,minimal,minimal
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,1,C,0,0,57,gravel,0,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,1,F,0,0,72,sand,10,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,1,G,100,10,76,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,1,O,0,0,65,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,1,S,0,0,57,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,1,U,0,0,47,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,1,W,0,0,42,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,1,WV,0,90,35,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,1,,,,10,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,2,B,0,0,11,cobble,90,PAW,0,none,minimal
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,2,C,0,0,36,gravel,0,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,2,F,0,0,48,sand,10,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,2,G,100,15,54,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,2,O,0,0,53,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,2,S,0,0,56,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,2,U,0,0,65,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,2,W,0,0,77,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,2,WV,0,85,75,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,2,,,,55,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,2,,,,20,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,3,B,0,0,30,cobble,80,PAW,0,some,some
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,3,C,0,0,47,gravel,0,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,3,F,0,0,55,sand,20,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,3,G,100,10,60,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,3,O,0,0,83,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,3,S,0,0,80,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,3,U,0,0,90,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,3,W,0,0,90,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,3,WV,0,90,70,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,3,,,,20,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,4,B,0,0,22,cobble,90,A,0,minimal,some
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,4,C,0,0,56,gravel,0,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,4,F,0,0,63,sand,10,,,,
